cod;municipio;UF;votos;numeroafiliados;txalfabetizacao;energiaeletrica;perccatolicos;rendapercapita2010;percate40anos;qtnovodepfed;percvotonovo;SOBRE60;E_ANOSESTUDO;T_ANALF18M;GINI;RDPC;P_FORMAL;P_SUPER;TRABCC;TRABPUB;TRABSC;PEA18M;PESO18;pesoRUR;pesotot;pesourb;IDHM
5002803;CARACOL;MS;17;0;92,3;97,64;0,840502978;482,96;0,362726936;5;0,004726161;82,42;10,15;9,26;0,43;399,46;44,79;5,88;31,12;12,62;37,29;2433;3597;2160;5398;3238;0,647
2202505;CARACOL;PI;12;0;66,9;96,02;0,848472828;274,65;0,362612613;0;0,001902045;83,87;7,4;37,9;0,62;221,08;22,24;5,46;19,39;0,56;25,19;3287;6309;6184;10212;4028;0,552
3510500;CARAGUATATUBA;SP;1872;19;95,6;99,66;0,639460876;910,83;0,362673542;47;0,026340969;84,42;11,01;4,97;0,5;773,99;59,47;12,18;48,13;5,17;19,77;48822;71068;4167;100840;96673;0,759
3113008;CARAÍ;MG;92;0;76,7;87,79;0,91179378;311,81;0,317817661;37;0,006558779;77,74;8,53;29,16;0,53;244,29;25,67;5,85;13,29;8,97;34,88;8330;14027;15152;22343;7191;0,558
2906899;CARAÍBAS;BA;25;0;69,9;92,12;0,942273906;348,65;0,324985326;8;0,003551136;80,72;7,82;35,51;0,49;277,97;21,44;2,98;14;6,29;39,75;3703;7040;7709;10222;2513;0,555
4104659;CARAMBEÍ;PR;219;2;95,4;99,8;0,739901774;825,83;0,383134165;16;0,017415507;83,95;9,81;5,37;0,53;711,5;72,11;7,34;64,93;0,6;10,99;8758;12575;5245;19163;13918;0,728
3113107;CARANAÍBA;MG;64;0;91,8;99,45;0,914434226;370,7;0,3263382;37;0,027049873;80,17;10,08;9,64;0,43;319,88;40,93;4,43;30,43;4,53;28,35;1289;2366;2112;3288;1176;0,634
3113206;CARANDAÍ;MG;506;2;93,3;99,64;0,871063773;543,74;0,349610212;37;0,029847225;81,43;10,45;7,7;0,48;495,09;57,95;7,73;40,85;7,76;20,09;10685;16953;5141;23346;18205;0,697
3113305;CARANGOLA;MG;511;1;90,6;99,71;0,718211299;719,04;0,330009908;37;0,021494973;82,78;9,14;10,75;0,48;618,24;53,96;10,72;35,62;7,87;27,47;15720;23773;6237;32296;26059;0,695
3300936;CARAPEBUS;RJ;69;0;92,1;99,3;0,690806045;664,2;0,362751703;19;0,007208525;79,68;9,07;9,02;0,42;620,35;60,7;5,91;50,93;6,1;19,77;6670;9572;2817;13359;10542;0,713
3510609;CARAPICUÍBA;SP;7970;25;95,8;99,93;0,64834256;752,6;0,396364561;47;0,030595714;84,09;10,22;4,59;0,46;712,78;74,65;9,11;67,6;2,33;14,25;175164;260494;0;369584;369584;0,749
3113404;CARATINGA;MG;1106;5;91,2;99,61;0,782897446;677,72;0,358990603;37;0,018155851;82,75;8,95;10,16;0,54;610,29;59,71;11,57;39,98;8,63;18,46;36799;60917;14765;85239;70474;0,706
1301001;CARAUARI;AM;6;0;75,3;94,6;0,711832834;289,07;0,326841003;0;0,000454718;81,37;7,22;31,44;0,54;222,32;24,55;6,08;17,72;5,68;33,79;8277;13195;6030;25774;19744;0,549
2402303;CARAÚBAS;RN;68;0;75,2;98,59;0,861961084;359,49;0,35323866;5;0,004950495;85,42;9,62;28,48;0,54;321,99;26,24;8,32;20,3;3,12;31,74;7383;13736;5872;19576;13704;0,638
2504074;CARAÚBAS;PB;13;0;82,5;99,33;0,961489089;355,45;0,307258271;2;0,004896422;77,65;8,73;20,53;0,45;296,38;22;4,09;6;13,43;46,86;1581;2655;2382;3899;1517;0,585
2202539;CARAÚBAS DO PIAUÍ;PI;12;0;59,3;74,81;0,83650317;202,03;0,340995475;0;0,003481288;84,33;6,86;47,43;0,58;158,13;12,91;2,36;11,57;1,15;53,39;1124;3447;4553;5525;972;0,505
2906907;CARAVELAS;BA;23;0;77,4;95,52;0,804876173;465,99;0,352106099;8;0,0016542;85,86;7,47;26,83;0,56;394,43;44,24;4,23;34,38;2,81;22,45;8559;13904;10105;21414;11309;0,616
4304705;CARAZINHO;RS;1123;14;96,2;99,68;0,799690607;989,94;0,337812094;18;0,025613539;84,21;10,45;4,3;0,51;881,73;70,73;13,87;51,43;5,91;14,76;28918;43844;1064;59317;58253;0,766
3113503;CARBONITA;MG;94;0;83,3;98,59;0,924884239;442,91;0,336904241;37;0,015217743;79,09;9,5;20,67;0,46;373,05;47,18;5,49;29,03;12,97;26,79;4111;6177;2410;9148;6738;0,638
2907004;CARDEAL DA SILVA;BA;0;0;79,1;95,96;0,836627418;246,09;0,352511518;8;0;80,28;7,59;25,37;0,52;207,42;43,13;2,59;40,64;1,37;31,59;3053;5309;5998;8899;2901;0,552
3510708;CARDOSO;SP;137;0;91,5;99,85;0,736745044;670,03;0,320372723;47;0,015341545;85,01;10,38;9,64;0,42;605,99;54,81;10,25;43,08;4,84;26,99;5250;8930;1075;11805;10730;0,722
3301157;CARDOSO MOREIRA;RJ;21;0;85,9;98,36;0,444693095;501,45;0,33515873;19;0,002239522;77,59;7,58;16,01;0,45;465,04;50,35;6,45;32,76;10,02;27,76;5155;9377;3843;12600;8757;0,648
3113602;CAREAÇU;MG;162;0;88,3;99,8;0,846315789;560,66;0,335820896;37;0,035984007;81,64;8,52;13,82;0,41;504,96;62,97;7,97;48,99;8,67;19,8;2902;4502;1596;6298;4702;0,683
1301100;CAREIRO;AM;31;0;87,3;84,88;0,620528492;250,41;0,351102829;0;0,001660685;84,88;7,91;14,86;0,66;197,06;23,58;4,88;9,86;11,65;20,31;8409;18667;23297;32734;9437;0,557
1301159;CAREIRO DA VÁRZEA;AM;64;0;85;90;0,807612976;255,84;0,339866277;0;0,004461796;84,88;7,62;17,94;0,57;207,18;10,5;4,52;4,71;1,83;22,16;7739;14344;22930;23930;1000;0,568
3201308;CARIACICA;ES;3150;16;94,3;99,88;0,539983725;668,81;0,384334371;6;0,0128738;83,08;9,38;6,42;0,45;620,89;70,45;7,77;61,94;2,78;15,24;166265;244683;11095;348738;337643;0,718
2303006;CARIDADE;CE;14;0;76,1;98,91;0,953353659;245,61;0,353496503;6;0,001076013;84,78;8,18;28,99;0,5;213,18;27,92;4,17;17,4;8,89;39,77;5906;13011;8497;20020;11523;0,592
2202554;CARIDADE DO PIAUÍ;PI;12;0;70,8;78,67;0,927294398;239,13;0,361583092;0;0,003968254;78,14;8,55;35,25;0,53;203,34;28,9;6,47;12,33;14,88;25,95;1612;3024;3247;4826;1579;0,541
2907103;CARINHANHA;BA;22;0;76,6;88,24;0,87347385;266,56;0,346159267;8;0,001261179;83,14;8,79;28,37;0,51;209,51;16,13;1,54;7,14;5,85;37,29;10722;17444;15795;28380;12585;0,576
2801405;CARIRA;SE;70;0;68,4;98,65;0,868290598;353,47;0,346178837;2;0,005324004;85,84;8,41;37,65;0,49;297,74;27,64;4,04;20,48;5,76;42,49;7734;13148;8840;20007;11167;0,588
2303105;CARIRÉ;CE;7;0;73;98,63;0,933707677;284,98;0,313402736;6;0,000578991;81,75;10,09;33,39;0,54;225,75;26,14;4,98;20,84;2,17;35,16;5917;12090;10046;18347;8301;0,596
1703867;CARIRI DO TOCANTINS;TO;10;0;86,8;94,79;0,798825257;529,85;0,395633653;0;0,003810976;89,06;9,38;15,59;0,46;425,49;35,65;6,18;24,68;5,82;34,03;1551;2624;1663;3756;2093;0,662
2303204;CARIRIAÇU;CE;23;0;72,1;99,04;0,982021773;297,24;0,321865646;6;0,001428749;79,8;9,66;34,48;0,51;243,1;24,99;5,27;12,7;10,67;25,72;10372;16098;12362;26393;14031;0,578
2303303;CARIÚS;CE;19;0;71,4;98,68;0,893847911;287,23;0,320191738;6;0,001485187;82,01;9,71;34,57;0,52;239,39;18,2;3,18;12,44;2,69;27,94;5909;12793;10257;18567;8310;0,597
5102793;CARLINDA;MT;21;0;86,1;97,97;0,791317038;479,28;0,319381256;13;0,00284823;81,16;9,75;17,09;0,52;474,83;34,84;4,91;17,52;10,38;22,09;5230;7373;6415;10990;4575;0,665
4104709;CARLÓPOLIS;PR;94;0;92,7;99,55;0,866008611;696,04;0,325550854;16;0,009560618;83,57;10,29;8,6;0,47;608,82;51,13;6,6;35,54;1,38;25,46;7135;9832;4353;13706;9353;0,713
4304804;CARLOS BARBOSA;RS;1009;5;97,6;99,94;0,931760688;1934,76;0,380200064;18;0,051395681;83,55;10,97;2,66;0,51;1446,56;72,42;9,08;57,34;3,01;8,58;16579;19632;5200;25192;19992;0,796
3113701;CARLOS CHAGAS;MG;161;1;80;98,49;0,871369558;510,65;0,334097364;37;0,011220294;81,83;8,49;23,63;0,53;432,37;51,07;6,36;37,61;8,29;28,93;7647;14349;7105;20069;12964;0,648
4304853;CARLOS GOMES;RS;16;0;95,6;100;0,976923077;806,64;0,295581829;18;0,012830794;87,97;10,37;5,05;0,43;761,35;23,1;4,56;10,05;12,06;3,51;1057;1247;1229;1607;378;0,739
3113800;CARMÉSIA;MG;23;0;86,4;94,51;0,836012862;507,09;0,320932134;37;0,01372315;79,92;9,2;16,35;0,48;404,76;45,43;7,99;19,73;22,28;35,92;1014;1676;1135;2446;1311;0,65
3301207;CARMO;RJ;217;2;90,7;99,86;0,733356785;645,52;0,334002524;19;0,017019608;80,37;8,24;10,49;0,47;559,66;62,91;8,51;46,34;8,89;23,26;7930;12750;3964;17434;13470;0,696
3113909;CARMO DA CACHOEIRA;MG;231;2;90,9;99,7;0,891625616;641,77;0,339134843;37;0,028423773;79,54;8,11;10,69;0,45;525,35;69,15;5,98;58,96;6,13;19,5;5855;8127;2870;11836;8966;0,655
3114006;CARMO DA MATA;MG;359;0;92,4;99,66;0,947586923;653,7;0,333211311;37;0,044724056;83,11;8,91;8,86;0,4;551,21;63,61;7,54;51,12;3,1;25,36;5302;8027;2317;10927;8610;0,689
3114105;CARMO DE MINAS;MG;239;0;90,4;99,64;0,85243437;578,88;0,351054545;37;0,025301715;83,54;9,08;11,49;0,47;511,95;70,94;8,72;60,71;4,48;18,01;6131;9446;3561;13750;10189;0,682
3114204;CARMO DO CAJURU;MG;917;3;94,2;99,78;0,929086052;666,73;0,357935239;37;0,063849046;84,18;8,87;6,76;0,43;606,19;65,32;9,35;47,72;6,1;19,65;10132;14362;2672;20012;17340;0,71
3114303;CARMO DO PARANAÍBA;MG;677;1;91,8;99,69;0,875317831;710,83;0,34229023;37;0,031746776;84,85;8,85;9,23;0,49;678,13;54,85;8,95;39,78;8,34;24,47;13976;21325;4535;29735;25200;0,705
3114402;CARMO DO RIO CLARO;MG;639;0;91,8;99,63;0,934333959;815,44;0,348183687;37;0,04253478;83,98;9,32;9,39;0,52;685,17;51,98;8,35;37,82;3,52;21,23;10376;15023;6064;20426;14362;0,733
5205000;CARMO DO RIO VERDE;GO;82;0;90;99,83;0,6869207;572,86;0,357638889;6;0,012613444;82,52;9,73;11,57;0,44;541,99;57,42;7,27;43,13;8,58;21,42;4155;6501;1874;8928;7054;0,713
1703883;CARMOLÂNDIA;TO;25;0;83;98,34;0,886807182;424,07;0,331174439;0;0,017409471;87,66;9,39;21,17;0,48;382,31;58,01;12,16;27,72;28,07;19,08;897;1436;492;2316;1824;0,64
2801504;CARMÓPOLIS;SE;29;0;86,4;99,39;0,78541492;464,65;0,393986522;2;0,003412568;85,1;9,12;15,36;0,55;385,16;67,73;5,81;58,19;8,51;15,11;5440;8498;2787;13503;10716;0,643
3114501;CARMÓPOLIS DE MINAS;MG;1014;0;95,2;99,82;0,945674239;650,38;0,361156734;37;0,081524361;83,95;8,73;5,55;0,46;599,63;53,32;5,44;40,31;5,4;25,48;8829;12438;5227;17048;11821;0,7
2603900;CARNAÍBA;PE;38;0;75,9;98,75;0,939698925;278,57;0,33859158;10;0,003082664;79,45;9,41;29,42;0,53;229,87;21,4;5,63;11,84;7,77;24,78;6571;12327;10950;18574;7624;0,583
2402402;CARNAÚBA DOS DANTAS;RN;44;0;86,8;99,51;0,946893141;435,57;0,366132723;5;0,008419441;86,39;9,6;15,35;0,41;387,8;36,24;5,38;25;7,85;32,36;3331;5226;1401;7429;6028;0,659
2402501;CARNAUBAIS;RN;33;0;76,1;97,83;0,747140815;346,98;0,369493956;5;0,004938641;80,57;8,82;27,39;0,52;300,27;34,7;5,85;27,67;6,26;29;3759;6682;5005;9762;4757;0,589
2303402;CARNAUBAL;CE;16;0;73,8;98,95;0,945841807;266,63;0,311537083;6;0,001536246;82,88;10,32;32,67;0,53;224,37;16,4;4,71;13,02;0,8;38,12;6050;10415;8786;16746;7960;0,593
2603926;CARNAUBEIRA DA PENHA;PE;8;0;74,7;96,56;0,921671018;212,26;0,337039552;10;0,001188178;82,37;8,65;30,08;0,56;170,02;11,05;4,15;4,81;5,47;33,86;3673;6733;9800;11782;1982;0,573
3114550;CARNEIRINHO;MG;203;0;89,2;99,57;0,86270617;894,59;0,358040334;37;0,029166667;85,88;8,89;12,31;0,57;847,07;62,45;11,23;50,78;3,42;18,25;4718;6960;2496;9471;6975;0,741
2701803;CARNEIROS;AL;28;0;72,5;98,48;0,927206075;261,1;0,325814234;3;0,005948587;77,58;7,85;32,36;0,54;199,58;20,31;1,76;11,79;7,83;29,8;2988;4707;3588;8290;4702;0,526
1400233;CAROEBE;RR;6;0;89,2;91,83;0,382701422;396,48;0,352970175;0;0,001255493;86,07;9,57;13,39;0,55;334,97;19,36;6,58;12,94;3,78;29,39;3244;4779;4790;8114;3324;0,639
2102804;CAROLINA;MA;98;0;86,3;83,08;0,874809363;428,34;0,330731667;0;0,006490066;86,69;8,76;16,38;0,55;334,51;32,82;6,33;26,03;4,29;34,9;9021;15100;7722;23959;16237;0,634
2604007;CARPINA;PE;381;1;85,1;99,58;0,706477464;447,03;0,379745652;10;0,007249134;87,29;9,59;17,09;0,5;403,76;51,08;9,69;41,58;5,53;28,51;29896;52558;2802;74858;72056;0,68
3114600;CARRANCAS;MG;77;0;92,7;99,59;0,944666909;716,8;0,303191489;37;0,027103133;86,18;9,15;8,59;0,54;576,62;46,7;10,38;29,61;9,31;33,04;1761;2841;1336;3948;2612;0,725
2504108;CARRAPATEIRA;PB;2;0;75,3;99,49;0,999212598;243,39;0,351135408;2;0,001283697;83,38;9,14;30,55;0,47;214,54;24,94;5,13;6,6;18,04;46,31;672;1558;665;2378;1713;0,603
1703891;CARRASCO BONITO;TO;3;0;74,8;95,31;0,958034235;321,22;0,330260304;0;0,001427212;79,58;10,29;32,02;0,56;234,45;27,29;6,66;5,93;20,82;29,88;1272;2102;1721;3688;1967;0,594
2604106;CARUARU;PE;2013;11;85,5;99,65;0,775323206;615,46;0,39067422;10;0,009170634;86,69;8,89;16,5;0,53;553,99;44,02;8,33;34,62;3,7;23;149567;219505;35323;314912;279589;0,677
2102903;CARUTAPERA;MA;14;0;82,4;97,29;0,866453494;261,76;0,362628374;0;0,001098298;81,52;9,72;21,48;0,54;220,91;19,77;4,1;5,74;5,75;31,72;8449;12747;5782;22006;16224;0,574
3114709;CARVALHÓPOLIS;MG;79;0;92,3;99,63;0,905153746;629,6;0,299311583;37;0,032258065;83,94;10,04;8,78;0,43;579,4;48,99;8,06;22,82;10,2;20,17;1647;2449;882;3341;2459;0,724
3114808;CARVALHOS;MG;107;2;86;98,48;0,915400057;578,26;0,309482002;37;0,030862417;81,32;9,43;16,12;0,53;506,24;27,31;5,09;15,29;7,49;39,07;1973;3467;2119;4556;2437;0,646
3510807;CASA BRANCA;SP;511;3;93,8;99,78;0,784955313;846,44;0,36658777;47;0,024422884;83,56;9,25;5,22;0,49;737,96;67,66;13,58;51,59;8,17;19,14;12211;20923;5153;28307;23154;0,73
3114907;CASA GRANDE;MG;56;0;94,6;99,84;0,887154862;396,43;0,351158645;37;0,034125533;81,6;8,14;6,22;0,38;351,47;52,88;6,36;30,23;14,4;33,36;841;1641;1122;2244;1122;0,652
2907202;CASA NOVA;BA;55;1;76,8;86,87;0,918550541;332,01;0,363473976;8;0,001313401;80,39;8,15;26,69;0,54;289,24;31,22;3,46;22,65;4,96;27,34;25814;41876;27397;64940;37543;0,57
4304903;CASCA;RS;302;0;96,3;99,86;0,986850153;1103,51;0,318229106;18;0,044158503;84,77;11,57;4,05;0,41;1011,38;56,64;13,03;36,05;3,64;11,04;5487;6839;3561;8651;5090;0,785
3115003;CASCALHO RICO;MG;116;0;93,9;99,42;0,888151175;872,64;0,327266363;37;0,054281703;83,56;9,36;6,83;0,49;769,71;46,66;6,12;24,89;15,34;21,91;1498;2137;1061;2857;1796;0,721
2303501;CASCAVEL;CE;91;0;79,2;98,63;0,889676665;359,77;0,367255299;6;0,002022447;86,1;9,74;24,82;0,48;309,14;34,49;4,48;26,56;4,34;35,31;26822;44995;9985;66142;56157;0,646
4104808;CASCAVEL;PR;5667;106;95,9;99,73;0,781429238;1160,69;0,389137157;16;0,027744188;84,74;11,22;4,77;0,51;1003,38;71,98;17,04;55,36;5,25;13,04;153605;204259;16156;286205;270049;0,782
1703909;CASEARA;TO;8;0;84;82,33;0,86942959;692,23;0,332101717;0;0,002753873;89,01;11;19,35;0,61;447,52;35,3;9,65;13,54;16,24;20,2;1875;2905;1864;4601;2737;0,658
4304952;CASEIROS;RS;55;0;90,8;99,4;0,941148552;616,6;0,269038909;18;0,025357308;83,58;11,65;10,79;0,47;606,99;37,82;5,87;23,26;5,35;12,14;1479;2169;1519;3007;1488;0,703
3301306;CASIMIRO DE ABREU;RJ;275;1;93,6;99,9;0,443507902;852,24;0,363538631;19;0,010915297;80,18;9,04;7,41;0,48;768,45;59,91;10,56;41,83;13,5;23,97;17976;25194;6826;35347;28521;0,726
2604155;CASINHAS;PE;18;0;71,8;99,01;0,954014939;242;0,34454453;10;0,002003116;78,79;9,08;34,14;0,45;200,83;24,89;3,28;21,65;2,73;23,84;4798;8986;12062;13766;1704;0,567
2504157;CASSERENGUE;PB;13;0;63,4;96,82;0,958363245;226,34;0,316661944;2;0,002881844;79,79;8,79;44,8;0,57;171,37;10,15;1,65;6,68;3,31;38,46;2209;4511;3600;7058;3458;0,514
3115102;CÁSSIA;MG;459;1;90,2;99,79;0,829113422;806,98;0,325694923;37;0,036408345;82,83;8,64;11,32;0,47;717,84;55,61;10,02;46,77;1,51;29,94;8172;12607;3191;17412;14221;0,704
3510906;CÁSSIA DOS COQUEIROS;SP;65;0;90,7;99,88;0,908296943;636,18;0,316249051;47;0,033643892;85,88;9,75;10,77;0,43;551,4;51,36;7,81;45,14;1,28;24,08;1413;1932;839;2634;1795;0,734
5002902;CASSILÂNDIA;MS;271;0;89,4;99,79;0,685519752;952,96;0,344605552;5;0,017513248;81,12;10,45;12,27;0,54;885,1;56,09;15,68;38,39;9,01;24,93;10471;15474;1958;20966;19008;0,727
1502400;CASTANHAL;PA;1096;11;92,6;99,47;0,791738402;532,48;0,404004643;0;0,009668143;86,45;9,91;8,39;0,54;467,32;47,43;6,94;36,34;7,26;24,35;72183;113362;19771;173149;153378;0,673
5102850;CASTANHEIRA;MT;36;0;88,2;90,93;0,746197719;553,09;0,353541489;13;0,006517017;80,31;9,58;14,25;0,55;520,54;30,45;4,7;13,46;14,62;23,23;3829;5524;4310;8231;3921;0,665
1100908;CASTANHEIRAS;RO;22;0;87,4;97,38;0,629360465;555,53;0,336783217;3;0,009124844;87,05;9,96;15,6;0,5;455,53;35,23;5,58;13,27;19,02;15,92;1591;2411;2739;3575;836;0,658
5205059;CASTELÂNDIA;GO;27;0;76,8;99,75;0,794436416;748,88;0,357339197;6;0,010184836;82,47;8,19;26,82;0,58;724,42;52,25;5,5;33,28;12,99;31,44;1784;2651;294;3638;3344;0,701
3201407;CASTELO;ES;581;3;92,2;99,9;0,922784234;722,28;0,35905258;6;0,022328978;83,72;8,07;8,9;0,45;636,49;55,36;9,51;35,38;4,78;22,26;18451;26020;12930;34747;21817;0,726
2202604;CASTELO DO PIAUÍ;PI;32;0;74,9;87,57;0,912769937;304,93;0,325861693;0;0,002688172;82,18;8,82;30,86;0,48;270,82;28,23;7,23;23,99;2,3;29,94;6358;11904;6857;18336;11479;0,587
3511003;CASTILHO;SP;115;0;92;98,61;0,800331248;661,77;0,345886797;47;0,008825109;82,75;11,28;9,24;0,46;579,36;62,36;13,02;52,37;3;12,65;8150;13031;4417;18003;13586;0,731
4104907;CASTRO;PR;600;1;93,2;99,17;0,759294767;713,29;0,353049908;16;0,013511079;82,77;10,31;8,24;0,53;639,54;62,53;10,72;52,07;2,64;17,08;29222;44408;17818;67084;49266;0,703
2907301;CASTRO ALVES;BA;34;1;79;97,35;0,840875568;374,83;0,363428841;8;0,001982623;84,28;7,6;24,58;0,54;316,1;32,92;3,31;25,18;4,41;28,77;10459;17149;9722;25408;15686;0,613
3115300;CATAGUASES;MG;1216;6;94,6;99,74;0,748534596;789,55;0,340797339;37;0,023080573;84,92;9,38;5,96;0,5;699,57;71,31;14,32;59,47;2,77;16,36;31373;52685;2977;69757;66780;0,751
5205109;CATALÃO;GO;1651;9;94,8;99,86;0,738105219;1075,65;0,399759946;6;0,025859503;81,46;10,01;5,83;0,51;959,4;63,21;14,2;50,3;4,95;18,92;46379;63845;5583;86647;81064;0,766
3511102;CATANDUVA;SP;2662;51;95,6;99,93;0,721826033;1066,67;0,356709803;47;0,030803768;84,79;10,71;4,88;0,46;945,05;74,57;17,07;59,11;4,06;12,48;59210;86418;906;112820;111914;0,785
4105003;CATANDUVAS;PR;105;0;87,9;98,04;0,897534559;631,71;0,345030386;16;0,015201969;81,16;10,27;14,75;0,53;539,43;44,54;6,09;26,04;4,66;19,06;5022;6907;4860;10202;5342;0,678
4204004;CATANDUVAS;SC;231;2;94,4;99,56;0,884839908;825,88;0,36159079;16;0,034648268;81,03;9,49;6,64;0,47;717,59;73,84;11,84;60,78;3,61;14,63;4651;6667;1461;9555;8094;0,714
2303600;CATARINA;CE;5;0;72,9;94;0,931764706;292,63;0,395892238;6;0,000370124;83,33;8,93;31,11;0,51;246,38;15,58;5,35;7,97;4,38;35,08;6927;13509;10017;18745;8728;0,618
3115359;CATAS ALTAS;MG;208;1;94,3;99,65;0,853542234;575,38;0,36236071;37;0,061647896;81,99;9,76;6,55;0,39;502,15;67,76;6,8;49,57;11,3;15,67;2165;3374;606;4846;4240;0,684
3115409;CATAS ALTAS DA NORUEGA;MG;45;0;87,9;98,35;0,983599291;355,93;0,357596765;37;0,018556701;79,42;8,56;14,68;0,44;309,82;36,1;5,39;18,67;11,57;30,73;1483;2425;2033;3462;1429;0,6
2604205;CATENDE;PE;85;0;74,9;99,29;0,784570455;333,93;0,353463776;10;0,003479044;82,86;8,87;28,5;0,54;292,74;45,91;7,51;33,58;8,28;26,19;11248;24432;8959;37820;28861;0,609
3511201;CATIGUÁ;SP;113;0;91,6;99,96;0,782555781;869,09;0,36972078;47;0,021062442;84,91;10,72;9,54;0,43;771,78;83,11;5,56;76,95;2,45;12,02;3424;5365;558;7127;6569;0,751
2504207;CATINGUEIRA;PB;11;0;67,5;98,78;0,96271722;305,25;0,339359933;2;0,003423592;82,14;9,15;38,34;0,52;249,16;30,71;3,68;21,49;8,04;32,84;1548;3213;1928;4812;2884;0,574
2907400;CATOLÂNDIA;BA;6;0;76,5;95,26;0,935669707;275,68;0,336906585;8;0,003420753;85,34;10,13;27,42;0,51;251,21;23,37;6,1;11,95;9,69;28,45;922;1754;1645;2612;967;0,582
2504306;CATOLÉ DO ROCHA;PB;76;4;78,7;99,4;0,882663679;422,8;0,368927988;2;0,003717108;85,51;9,38;24,64;0,5;371,92;36,25;8,34;30,6;3,99;31,9;11382;20446;7436;28759;21323;0,64
2907509;CATU;BA;82;1;89,7;98,14;0,593209578;533,26;0,406034027;8;0,002243932;87,99;8,95;11,84;0,55;486,05;54,47;5,66;50,26;1,37;21,28;20930;36543;8322;51077;42755;0,677
4305009;CATUÍPE;RS;56;1;94,4;99,53;0,877472878;1027,17;0,291215274;18;0,007886213;84,36;10,34;6,35;0,56;920,96;43,14;10,62;24,15;6,36;18,87;4987;7101;3325;9323;5998;0,739
3115458;CATUJI;MG;32;0;78;89,64;0,942245989;260,33;0,324985092;37;0,007707129;76,69;6,99;27,14;0,54;221,41;22,2;4,83;13,14;8,12;33,61;2120;4152;5016;6708;1692;0,54
2303659;CATUNDA;CE;5;1;73;97,71;0,956720203;264,3;0,30596865;6;0,000775194;78,33;10,38;32,85;0,53;225,43;21,93;6,56;6,25;13,09;37,54;3004;6450;4557;9952;5395;0,609
5205208;CATURAÍ;GO;77;0;88,6;99,74;0,746623794;570,83;0,351685873;6;0,022869023;81,75;9,5;13,51;0,44;500,32;34,36;6,26;21,27;9,23;35,39;2295;3367;1022;4686;3664;0,664
2907558;CATURAMA;BA;5;0;74,1;82,24;0,962677165;283,18;0,363790569;8;0,000789515;83,88;8,08;29,83;0,49;234,88;19,66;1,59;15,1;3,6;31,15;3449;6333;6469;8843;2374;0,571
2504355;CATURITÉ;PB;16;0;79,8;99,62;0,95082543;401,73;0,338322694;2;0,005239031;85;9,39;24,17;0,56;371,05;30,78;4,93;19,76;3,37;28,41;1787;3054;3519;4543;1024;0,623
3115474;CATUTI;MG;37;0;75,4;98,79;0,937916414;308,86;0,326538612;37;0,011002081;76,93;10,89;30,92;0,5;265,76;29,85;6,79;9,5;20,22;32,18;2076;3363;2124;5102;2978;0,621
2303709;CAUCAIA;CE;637;5;88;99,41;0,794745454;441,04;0,384788641;6;0,002971595;87,56;9,71;13,8;0,48;379,63;48,25;5,18;42,79;3,06;30,44;137870;214363;35221;325441;290220;0,682
5205307;CAVALCANTE;GO;28;0;76,3;62,08;0,860387812;437,65;0,313032368;6;0,004973357;81,07;8,14;29,33;0,62;324,92;34,17;6,36;15,1;16,38;26,86;3026;5630;4650;9392;4742;0,584
3115508;CAXAMBU;MG;401;1;94,4;99,77;0,775141382;1189,68;0,324441373;37;0,025014035;83,74;9,57;6,33;0,65;963,25;70,2;13,13;51,23;6,67;14,87;10639;16031;453;21705;21252;0,743
4204103;CAXAMBU DO SUL;SC;36;0;90,1;98,94;0,865189536;763,55;0,293584221;16;0,011036174;86,53;8,5;11,53;0,5;730,36;29,15;9,22;23,07;3,71;19,55;2673;3262;2256;4411;2155;0,691
2103000;CAXIAS;MA;401;0;76,2;96,4;0,883681935;378,24;0,356664453;0;0,004026549;82,04;9,66;27,65;0,55;324,9;30;7,23;19,92;7,51;30,41;58848;99589;36595;155129;118534;0,624
4305108;CAXIAS DO SUL;RS;12867;110;97,7;99,94;0,867188833;1422,52;0,388445785;18;0,039351271;86,11;10,05;2,44;0,48;1253,93;81,67;14,07;66,07;2,77;7,91;247136;326978;16158;435564;419406;0,782
2202653;CAXINGÓ;PI;10;0;59,1;88,63;0,915730337;215,05;0,357809089;0;0,003256268;77,45;7,68;47,64;0,52;177,35;19,61;2,03;18,36;0,23;33,13;1614;3071;4073;5039;966;0,488
2402600;CEARÁ-MIRIM;RN;157;1;79,5;99,14;0,891506156;385,75;0,368485934;5;0,003554368;84,28;8,75;23,4;0,51;332,89;50,27;5,81;42,59;4,12;25,04;23968;44171;32647;68141;35494;0,616
3511300;CEDRAL;SP;151;1;94;99,96;0,838931298;904,79;0,344455595;47;0,024489134;86,66;10,47;6,6;0,42;845,41;62,51;13,62;54,48;1,99;22,07;4090;6166;1665;7972;6307;0,766
2103109;CEDRAL;MA;10;0;84,2;98,92;0,810259678;243,8;0,36602894;0;0,001495439;81,57;9,22;18,51;0,56;202,86;15,85;4,64;2,71;7,39;24,92;4010;6687;7900;10297;2397;0,605
2303808;CEDRO;CE;25;0;74,6;99,4;0,93378649;373,38;0,325192645;6;0,001511944;82,18;9,51;29,33;0,56;317,69;21,93;5,84;15,85;3,27;30,66;8724;16535;9368;24527;15159;0,627
