cod;municipio;UF;votos;numeroafiliados;txalfabetizacao;energiaeletrica;perccatolicos;rendapercapita2010;percate40anos;qtnovodepfed;percvotonovo;SOBRE60;E_ANOSESTUDO;T_ANALF18M;GINI;RDPC;P_FORMAL;P_SUPER;TRABCC;TRABPUB;TRABSC;PEA18M;PESO18;pesoRUR;pesotot;pesourb;IDHM
4200309;AGRONÔMICA;SC;85;0;94,9;99,93;0,889435696;1001,91;0,33951876;16;0,024745269;87,66;8,5;6;0,47;985,65;68,54;4,51;38,97;3,94;3,03;2803;3435;3046;4904;1858;0,741
1500347;ÁGUA AZUL DO NORTE;PA;13;0;89,1;92,36;0,676991768;272,41;0,448577244;0;0,000775055;86,49;7,48;12,56;0,49;266,02;31,55;0,96;27,49;1,13;35,61;8791;16773;20181;25057;4876;0,564
5100201;ÁGUA BOA;MT;146;0;92,8;98,51;0,721986192;731,44;0,394370924;13;0,010312919;82,86;10,01;8,18;0,49;720,74;54,73;10,56;41,12;8,12;25,29;9551;14157;4097;20856;16759;0,729
3100609;ÁGUA BOA;MG;71;0;76,3;92,92;0,849911107;398,94;0,31497203;37;0,007498944;79,4;7,87;30,15;0,5;322,12;25,14;4,84;12,27;9,66;39,07;6473;9468;8160;15195;7035;0,576
2500106;ÁGUA BRANCA;PB;28;0;76,8;99,18;0,97755418;306;0,330722828;2;0,004664334;77,84;7,87;28,75;0,54;233,65;28,33;5,58;12,25;13,24;25,17;3091;6003;5388;9449;4061;0,572
2200202;ÁGUA BRANCA;PI;88;1;78,2;99,03;0,875518672;375,84;0,347577655;0;0,008031395;83,15;9,67;25,77;0,49;335,63;25,16;7,3;18,43;3,53;44,91;6117;10957;1912;16451;14539;0,639
2700102;ÁGUA BRANCA;AL;25;0;72,1;97,08;0,968637918;284,31;0,327346855;3;0,002128203;79,57;8,66;33,78;0,56;213;16,71;3,71;14,89;1,54;20,86;7581;11747;14276;19377;5101;0,549
5000203;ÁGUA CLARA;MS;86;0;91,9;99,44;0,738656737;747,6;0,401968941;5;0,009014675;82,23;8,94;9,66;0,5;642,97;64,54;7,1;53,42;8,48;16,97;7071;9540;4826;14424;9598;0,67
3100708;ÁGUA COMPRIDA;MG;85;0;92,6;99,72;0,86557377;749,65;0,340740741;37;0,056291391;84,78;8,5;8,41;0,46;701,19;59,82;9,01;52,97;1,24;21,2;1070;1510;505;2025;1520;0,675
4200408;ÁGUA DOCE;SC;43;0;93,5;99,62;0,9070399;816,4;0,319925298;16;0,009014675;82,26;10,43;7,74;0,54;722,21;56;10,05;38,97;5,96;12,53;3545;4770;3528;6961;3433;0,698
2100154;ÁGUA DOCE DO MARANHÃO;MA;13;0;66,4;98,02;0,82751575;227,75;0,346861238;0;0,001843187;76,23;8,07;39,1;0,59;172,55;20,2;3,92;12,01;6,74;38,04;2624;7053;8448;11581;3133;0,5
3200169;ÁGUA DOCE DO NORTE;ES;49;0;82;99,15;0,51906257;443,12;0,334975788;6;0,006032254;80,9;9,74;21,59;0,49;377,39;29,31;5,14;14,57;7,4;33,89;4957;8123;5072;11771;6699;0,652
2900405;ÁGUA FRIA;BA;14;1;75,3;95,81;0,826100864;268,75;0,353187973;8;0,001338688;81,49;7,56;29,7;0,53;215,12;23,97;2,17;14,8;7,3;18,35;6227;10458;9954;15731;5777;0,55
5200175;ÁGUA FRIA DE GOIÁS;GO;13;0;86,6;97,49;0,853714661;695,3;0,348526523;6;0,003784571;81,89;10,36;15,98;0,6;525,2;38,82;4,01;28,67;8,72;30,02;2305;3435;2953;5090;2137;0,671
5200209;ÁGUA LIMPA;GO;114;0;90,7;99,32;0,561347743;594,72;0,331346249;6;0,075496689;82,23;10,6;10,79;0,46;591,23;56,44;5,95;30,53;16,87;26,61;905;1510;587;2013;1426;0,722
